,0
177,A Matter of Loaf and Death
178,A Midnight Clear
179,A Midsummer Night's Dream
180,A Midsummer Night's Sex Comedy
181,A Midwinter's Tale
182,A Mighty Wind
183,A Million Ways to Die in the West
184,A Month by the Lake
185,A Month in the Country
186,A Most Violent Year
187,A Most Wanted Man
188,A Night at the Opera
189,A Night at the Roxbury
190,A Night in the Life of Jimmy Reardon
191,A Night to Remember
192,A Nightmare on Elm Street
193,A Nightmare on Elm Street 3: Dream Warriors
194,A Nightmare on Elm Street 4: The Dream Master
195,A Nightmare on Elm Street 5: The Dream Child
196,A Nightmare on Elm Street Part 2: Freddy's Revenge
197,A Passage to India
198,A Patch of Blue
199,A Perfect Candidate
200,A Perfect Murder
201,A Perfect World
202,A Personal Journey with Martin Scorsese Through American Movies
203,A Place in the Sun
204,A Prairie Home Companion
205,A Pyromaniac's Love Story
206,A Raisin in the Sun
207,A River Runs Through It
208,A Room with a View
209,A Scanner Darkly
210,A Serious Man
211,A Shock to the System
212,A Shot in the Dark
213,A Simple Plan
214,A Simple Twist of Fate
215,A Simple Wish
216,A Single Man
217,A Small Circle of Friends
218,A Smile Like Yours
219,A Soldier's Daughter Never Cries
220,A Soldier's Story
221,A Song to Remember
222,A Star Is Born
223,A Stranger Among Us
224,A Streetcar Named Desire
225,A Summer Place
226,A Thin Line Between Love and Hate
227,A Thousand Acres
228,A Thousand Clowns
229,A Thousand Words
230,A Time to Kill
231,A Troll in Central Park
232,A Very Brady Sequel
233,A Very Harold & Kumar Christmas
234,A Very Murray Christmas
235,A View to a Kill
236,A Walk in the Clouds
237,A Walk in the Sun
238,A Walk on the Moon
239,A Walk to Remember
240,A Wedding
241,A Woman Under the Influence
242,A Zed & Two Noughts
243,A fost sau n-a fost?
244,A-Haunting We Will Go
245,A.I. Artificial Intelligence
246,A.R.O.G.
247,AVP: Alien vs. Predator
248,Abandon
249,Abbott and Costello Meet the Invisible Man
250,Abbott and Costello Meet the Mummy
251,Abduction
252,Abel
253,About Last Night
254,About Last Night...
255,About Schmidt
256,About Time
257,About a Boy
258,Above the Law
259,Above the Rim
260,Abraham Lincoln: Vampire Hunter
261,Abre los ojos
262,Absence of Malice
263,Absolute Giganten
264,Absolute Power
265,Accattone
266,Accepted
267,Ace Ventura: Pet Detective
268,Ace Ventura: When Nature Calls
269,Ace in the Hole
270,Across the Line: The Exodus of Charlie Wright
271,Across the Sea of Time
272,Across the Universe
273,Action Jackson
274,Adam
275,Adam's Rib
276,Adams æbler
277,Adaptation.
278,Addams Family Reunion
279,Addams Family Values
280,Addicted to Love
281,Admission
282,Adventureland
283,Adventures in Babysitting
284,Ae Fond Kiss...
285,Affliction
286,Africa Screams
287,Africa: The Serengeti
288,African Cats
289,Afro Samurai
290,Afro Samurai: Resurrection
291,After Earth
292,After Hours
293,After the Sunset
294,After the Thin Man
295,Afterglow
296,Aftermath
297,Against All Odds
298,Against the Ropes
299,Agent Cody Banks
300,Agnes of God
301,Agora
302,"Aguirre, der Zorn Gottes"
303,Ai No Borei
304,Ai Weiwei: Never Sorry
305,Aileen: Life and Death of a Serial Killer
306,Aimee & Jaguar
307,Air America
308,Air Bud
309,Air Bud: Golden Receiver
310,Air Force One
311,Airheads
312,Airplane II: The Sequel
313,Airplane!
314,Airport
315,Airport '77
316,Airport 1975
317,Akeelah and the Bee
318,Aladdin
319,Aladdin and the King of Thieves
320,Alan Partridge: Alpha Papa
321,Alaska
322,Alaska: Spirit of the Wild
323,Albatross
324,Albert Nobbs
325,Albino Alligator
326,Alex & Emma
327,Alex Cross
328,Alexander
329,Alfie
330,Ali
331,Ali G Indahouse
332,Alice
333,Alice Doesn't Live Here Anymore
334,Alice Sweet Alice
335,Alice in Wonderland
336,Alice in den Städten
337,Alice's Restaurant
338,Alien
339,Alien Escape
340,Alien Nation
341,Alien: Resurrection
342,Aliens
343,Aliens in the Attic
344,Aliens vs Predator: Requiem
345,Alien³
346,Alive
347,All About Eve
348,All About the Benjamins
349,All Dogs Go to Heaven
350,All Dogs Go to Heaven 2
351,All Good Things
352,All I Want For Christmas
353,All Is Bright
354,All Is Lost
355,All Over the Guy
356,All Quiet on the Western Front
357,All Star Superman
358,All That Jazz
359,All Tomorrow's Parties
360,All of Me
361,All or Nothing
362,All the King's Men
363,All the President's Men
364,All the Pretty Horses
365,All the Real Girls
366,All the Right Moves
367,All the Vermeers in New York
368,Allan Quatermain and the Lost City of Gold
369,Alle Anderen
370,Alligator
371,Almost Famous
372,Almost Heroes
373,Almost Normal
374,Aloha
375,Alone in the Dark
376,Along Came Polly
377,Along Came a Spider
378,Alpha Dog
379,"Alphaville, une étrange aventure de Lemmy Caution"
380,Als wir träumten
381,Altered States
382,Alvin and the Chipmunks
383,Alvin and the Chipmunks: The Squeakquel
384,Always
385,Amadeus
386,Amarcord
387,Amateur
388,Amazing Grace
389,Amazon Women on the Moon
390,Amelia
391,America America
392,America's Sweethearts
393,American Beauty
394,American Buffalo
395,American Dream
396,American Flyers
397,American Gangster
398,American Gigolo
399,American Graffiti
400,American Heart
401,American Heist
402,American History X
403,American Hustle
404,American Mary
405,American Me
406,American Movie
407,American Ninja
408,American Ninja 2: The Confrontation
409,American Ninja 3: Blood Hunt
410,American Outlaws
411,American Pie
412,American Pie 2
413,American Pie Presents: Band Camp
414,American Pie Presents: Beta House
415,American Pie Presents: The Book of Love
416,American Pie Presents: The Naked Mile
417,American Pimp
418,American Pop
419,American Psycho
420,American Reunion
421,American Sniper
422,American Splendor
423,American Teen
424,American Ultra
425,American Wedding
426,American: The Bill Hicks Story
427,Amistad
428,Amityville 3-D
429,Amityville II: The Possession
430,Amityville: A New Generation
431,Amityville: Dollhouse
432,Amityville: It's About Time
433,Among Giants
434,Amores perros
435,Amos & Andrew
436,Amour
437,Amy
438,An Affair to Remember
439,An American Crime
440,An American Rhapsody
441,An American Tail
442,An American Tail: Fievel Goes West
443,An American Werewolf in London
444,An American Werewolf in Paris
445,An American in Paris
446,An Angel Named Billy
447,An Angel at My Table
448,An Awfully Big Adventure
449,An Education
450,An Evening with Kevin Smith
451,An Extremely Goofy Movie
452,An Ideal Husband
453,An Inconvenient Truth
454,An Innocent Man
455,An Officer and a Gentleman
456,An Unfinished Life
457,An Unmarried Woman
458,An Unreasonable Man
459,Anaconda
460,Anacondas: The Hunt for the Blood Orchid
461,Analyze That
462,Analyze This
463,Anastasia
464,Anatomie
465,Anatomy of a Murder
466,Anchorman 2: The Legend Continues
467,Anchorman: The Legend of Ron Burgundy
468,Anchors Aweigh
469,And God Created Woman
470,And Now for Something Completely Different
471,And So It Goes
472,And Then There Were None
473,And the Band Played On
474,Andre
475,Angel Baby
476,Angel Eyes
477,Angel Heart
478,Angel and the Badman
479,Angel on My Shoulder
480,Angela
481,Angela's Ashes
482,Angels & Demons
483,Angels and Insects
484,Angels in America
485,Angels in the Outfield
486,Angels with Dirty Faces
487,Anger Management
488,Angie
489,Angst
490,Angst essen Seele auf
491,Angus
492,"Angus, Thongs and Perfect Snogging"
493,Animal Crackers
494,Animal House
495,Animal Kingdom
496,Animals Are Beautiful People
497,Anna Karenina
498,Anna and the King
499,Anna and the King of Siam
500,Annapolis
501,Anne Frank Remembered
502,Anne of Avonlea
503,Anne of Green Gables
504,Anne of the Thousand Days
505,Annie
506,Annie Hall
507,Anomalisa
508,Another 48 Hrs.
509,Another Day in Paradise
510,Another Earth
511,Another Stakeout
512,Another Thin Man
513,Another Year
514,Ansikte mot Ansikte
515,Ant-Man
516,Antichrist
517,Antitrust
518,Antonia
519,Antwone Fisher
520,Antz
521,Anvil! The Story of Anvil
522,Any Given Sunday
523,Any Which Way You Can
524,Anywhere But Here
525,Apache
526,Apocalypse Now
527,Apocalypto
528,Apollo 13
529,Apollo 13: To the Edge and Back
530,Appointment with Death
531,Approaching the Unknown
532,April Fool's Day
533,April Love
534,Apt Pupil
535,Aqua Teen Hunger Force Colon Movie Film for Theaters
536,Aquamarine
537,Arachnophobia
538,Are We There Yet?
539,Argo
540,Aria
541,Ariel
542,Arizona Dream
543,Arlington Road
544,Armageddon
545,Armed and Dangerous
546,Armored
547,Army of Darkness
548,Around the World in 80 Days
549,Around the World in Eighty Days
550,Arranged
551,Arsenic and Old Lace
552,Art School Confidential
553,Arthur
554,Arthur 2: On the Rocks
555,Arthur Christmas
556,Arthur et les Minimoys
557,Artists and Models
558,Arven
559,"As Above, So Below"
560,As Good as It Gets
561,Ashby
562,Aspen
563,Assassins
564,Assault on Precinct 13
565,Astro Boy
566,Astérix & Obélix contre César
567,Astérix et les Vikings
568,Astérix le Gaulois
569,Asylum
570,At Close Range
571,At First Sight
572,At Middleton
573,At War with the Army
574,At the Circus
575,Atanarjuat
576,Atlantic City
577,Atlantis: The Lost Empire
578,Atonement
579,Atrocious
580,Attack of the Giant Leeches
581,Attack of the Killer Tomatoes!
582,Attack the Block
583,Au Revoir les Enfants
584,Au hasard Balthazar
585,Auch Zwerge haben klein angefangen
586,Audrey Rose
587,Auf der anderen Seite
588,August Rush
589,Auntie Mame
590,Ausente
591,Austenland
592,Austin Powers in Goldmember
593,Austin Powers: International Man of Mystery
594,Austin Powers: The Spy Who Shagged Me
595,Australia
596,Author! Author!
597,Auto Focus
598,Autumn in New York
599,Avalanche
600,Avalon
601,Avatar
602,Avengers: Age of Ultron
603,Awake
604,Awakenings
605,Away We Go
606,Away from Her
607,Azuloscurocasinegro
608,A計劃
609,B.A.P.S.
610,BASEketball
611,BURN·E
612,BUtterfield 8
613,Babe
614,Babe: Pig in the City
615,Babel
616,Babes in Toyland
617,Babettes gæstebud
618,Baby Boom
619,Baby Boy
620,Baby Doll
621,Baby Geniuses
622,Baby Mama
623,Baby Take a Bow
624,Baby's Day Out
625,Baby: Secret of the Lost Legend
626,Babylon 5: A Call to Arms
627,Babylon 5: In the Beginning
628,Babylon 5: The River of Souls
629,Babylon 5: Thirdspace
630,Babylon A.D.
631,Bachelor Party
632,Bachelorette
633,Back Soon
634,Back in the Day
635,Back to School
636,Back to the Beach
637,Back to the Future
638,Back to the Future Part II
639,Back to the Future Part III
640,Backbeat
641,Backcountry
642,Backdraft
643,Backstage
644,Bad Asses on the Bayou
645,Bad Boy Bubby
646,Bad Boys
647,Bad Boys II
648,Bad Company
649,Bad Day at Black Rock
650,Bad Girls
651,Bad Influence
652,Bad Karma
653,Bad Lieutenant
654,Bad Moon
655,Bad News Bears
656,Bad Santa
657,Bad Taste
658,Bad Teacher
659,Bad Timing
660,Bad Words
661,Badlands
662,Baise-moi
663,Baisers volés
664,Bajirao Mastani
665,Balada triste de trompeta
666,Balance
667,Ball of Fire
668,Ballistic: Ecks vs. Sever
669,Balls of Fury
670,Balto
671,Bambi
672,Bambi Meets Godzilla
673,Bamboozled
674,Bana Masal Anlatma
675,Banana Joe
676,Bananas
677,Band of Brothers
678,Band of the Hand
679,Bandidas
680,Bandit Queen
681,Bandits
682,Bang Bang You're Dead
683,Bang the Drum Slowly
684,Bangkok Dangerous
685,Banlieue 13
686,Banlieue 13 - Ultimatum
687,Barabbas
688,Baraka
689,Barb Wire
690,Barbarella
691,Barbarians at the Gate
692,Barbershop
693,Barcelona
694,Barefoot
695,Barefoot in the Park
696,Barenaked in America
697,Barfly
698,Barney's Great Adventure
699,Barney's Version
700,Barry Lyndon
701,Barton Fink
702,Basic
703,Basic Instinct
704,Basic Instinct 2
705,Basket Case
706,Basket Case 2
707,Basket Case 3
708,Basquiat
709,Bastard Out of Carolina
710,Bat*21
711,Batman
712,Batman & Robin
713,Batman Begins
714,Batman Forever
715,Batman Returns
716,Batman v Superman: Dawn of Justice
717,Batman: Mask of the Phantasm
718,"Batman: The Dark Knight Returns, Part 1"
719,"Batman: The Dark Knight Returns, Part 2"
720,Batman: Under the Red Hood
721,Batman: Year One
722,Batoru rowaiaru II: Chinkonka
723,Bats
724,Battle Beyond the Stars
725,Battle Cry
726,Battle Hymn
727,Battle for Terra
728,Battle for the Planet of the Apes
729,Battle: Los Angeles
730,Battlefield Earth
731,Battleground
732,Battleship
733,Battlestar Galactica: Razor
734,Battlestar Galactica: The Plan
735,Be Cool
736,Be Kind Rewind
737,Beach Blanket Bingo
738,Beach Party
739,Beaches
740,Bean
741,Beastly
742,Beastmaster 2: Through the Portal of Time
743,Beasts of No Nation
744,Beasts of the Southern Wild
745,Beat the Devil
746,Beau-père
747,Beautiful Creatures
748,Beautiful Girls
749,Beautiful People
750,Beautiful Thing
751,Beauty Is Embarrassing
752,Beauty and the Beast
753,Beavis and Butt-Head Do America
754,Because I Said So
755,Because of Winn-Dixie
756,Becket
757,Becoming Jane
758,Bed of Roses
759,Bedazzled
760,Bedknobs and Broomsticks
761,Bedlam
762,Bedrooms and Hallways
763,Bedtime Stories
764,Bee Movie
765,Beerfest
766,Beethoven
767,Beethoven's 2nd
768,Beetlejuice
769,Before Midnight
770,Before Night Falls
771,Before Sunrise
772,Before Sunset
773,Before and After
774,Before the Devil Knows You're Dead
775,Before the Rain
776,Begin Again
777,Beginners
778,Beginning of the End
779,Behind Enemy Lines
780,Behind the Candelabra
781,Behind the Mask: The Rise of Leslie Vernon
782,Being Elmo: A Puppeteer's Journey
783,Being Human
784,Being John Malkovich
785,Being Julia
786,Being There
787,"Bell, Book and Candle"
788,Bella Martha
789,Belle de jour
790,Belle Époque
791,Bells Are Ringing
792,Beloved
793,Below
794,Ben X
795,Ben-Hur
796,Ben-Hur: A Tale of the Christ
797,Bend It Like Beckham
798,Beneath the Planet of the Apes
799,Benji
800,Benji the Hunted
801,Benny & Joon
802,Benny's Video
803,Bent
804,Beowulf
805,Berlin Alexanderplatz
806,Berlin: Die Sinfonie der Grosstadt
807,Bernie
808,Best Friends
809,Best Men
810,Best in Show
811,Best of Enemies
812,Best of the Best 2
813,Betrayed
814,Betsy's Wedding
815,Better Living Through Chemistry
816,Better Off Dead...
817,Better Than Chocolate
818,Betty Fisher et autres histoires
819,Beverly Hills Chihuahua
820,Beverly Hills Cop
821,Beverly Hills Cop II
822,Beverly Hills Cop III
823,Beverly Hills Ninja
824,Beware of Mr. Baker
825,Bewitched
826,Beyond Bedlam
827,Beyond Rangoon
828,Beyond the Lights
829,Beyond the Mat
830,Beyond the Poseidon Adventure
831,Beyond the Sea
832,Beyond the Valley of the Dolls
833,Bhaji on the Beach
834,Bicentennial Man
835,Big
836,Big Daddy
837,Big Eden
838,Big Eyes
839,Big Fan
840,Big Fat Liar
841,Big Fish
842,Big Hero 6
843,Big Momma's House
844,Big Momma's House 2
845,"Big Mommas: Like Father, Like Son"
846,Big Night
847,Big Nothing
848,Big Top Pee-wee
849,Big Trouble
850,Big Trouble in Little China
851,Bigger Stronger Faster*
852,Biggles
853,Biker Boyz
854,Bikini Beach
855,Bill & Ted's Bogus Journey
856,Bill & Ted's Excellent Adventure
857,Bill Cosby: Himself
858,Bill Cunningham New York
859,Bill Hicks: Relentless
860,Bill Hicks: Revelations
861,Billy Bathgate
862,"Billy Blazes, Esq."
863,Billy Elliot
864,Billy Jack
865,Billy Liar
866,Billy Madison
867,Billy's Hollywood Screen Kiss
868,Biloxi Blues
869,Bio-Dome
870,Bird
871,Bird on a Wire
872,Birdman
873,Birdman of Alcatraz
874,Birdy
875,Birthday Girl
876,Bis ans Ende der Welt
877,Bite the Bullet
878,Bitter Moon
879,Biutiful
880,Black Beauty
881,Black Christmas
882,Black Death
883,Black Dynamite
884,Black Hawk Down
885,Black Knight
886,Black Mass
887,Black Moon
888,Black Narcissus
889,Black Rain
890,Black Robe
891,Black Sheep
892,Black Snake Moan
893,Black Swan
894,Black Tar Heroin: The Dark End of the Street
895,Black Widow
896,Black and White
897,Blackadder Back & Forth
898,Blackadder's Christmas Carol
899,Blackbeard's Ghost
900,Blackboard Jungle
901,Blackfish
902,Blackhat
903,Blackmail
904,Blackrock
905,Blade
906,Blade II
907,Blade Runner
908,Blade: Trinity
909,Blades of Glory
910,Blame It on Rio
911,Blancanieves
912,Blank Check
913,Blankman
914,Blast from the Past
915,Blaze
916,Blazing Saddles
917,Blended
918,Bless the Child
919,Blind Date
920,Blink
921,Blinkende lygter
922,Bliss
923,Blithe Spirit
924,Blood Beach
925,Blood Diamond
926,Blood Feast
927,Blood Simple
928,Blood Work
929,Blood and Wine
930,Blood for Dracula
931,"Blood, Guts, Bullets and Octane"
932,Blood: The Last Vampire
933,BloodRayne
934,Bloodsport
935,Bloodsport II
936,Bloodsucking Freaks
937,Bloody Mama
938,Bloody Sunday
939,Blow
940,Blow Dry
941,Blow Out
942,Blow-Up
943,Blown Away
944,Blue Chips
945,Blue Collar
946,Blue Collar Comedy Tour: The Movie
947,Blue Crush
948,Blue Hawaii
949,Blue Jasmine
950,Blue Ruin
951,Blue Sky
952,Blue Steel
953,Blue Streak
954,Blue Thunder
955,Blue Valentine
956,Blue Velvet
957,Blue in the Face
958,Blues Brothers 2000
959,Boat Trip
960,Bob & Carol & Ted & Alice
961,Bob Roberts
962,Bob le Flambeur
963,Bobby
964,Bobby Deerfield
965,Body
966,Body Double
967,Body Heat
968,Body Parts
969,Body Shots
970,Body Snatchers
971,Body of Evidence
972,Body of Lies
973,Bogus
974,Boiler Room
975,Boiling Point
976,Bolt
977,"Bon Voyage, Charlie Brown (and Don't Come Back!)"
978,Bon voyage
979,Bone Tomahawk
980,Bonnie and Clyde
981,Boogeyman
982,Boogie Nights
983,Book of Shadows: Blair Witch 2
984,Boomerang
985,Booty Call
986,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
987,Bordello of Blood
988,Borgman
989,Born Free
990,Born Rich
991,Born Yesterday
992,Born in East L.A.
993,Born into Brothels
994,Born on the Fourth of July
995,Bossa Nova
996,Bottle Rocket
997,Bounce
998,Bound
999,Bound by Honor
1000,Bound for Glory
1001,Boundin'
1002,Bowfinger
1003,Bowling for Columbine
1004,Box of Moonlight
1005,Boxcar Bertha
1006,Boxing Helena
1007,Boy
1008,Boy A
1009,Boy Crazy
1010,Boy Culture
1011,Boyhood
1012,Boys
1013,Boys Don't Cry
1014,"Boys Life: Three Stories of Love, Lust, and Liberation"
1015,Boys and Girls
1016,Boys on the Side
1017,Boyz n the Hood
1018,Braddock: Missing in Action III
1019,Brain Damage
1020,Braindead
1021,Brainstorm
1022,Brake
1023,Brassed Off
1024,Bratz
1025,Brave
1026,Braveheart
1027,Brazil
1028,Breach
1029,Bread and Roses
1030,Breakdown
1031,Breaker Morant
1032,Breakfast at Tiffany's
1033,Breakfast of Champions
1034,Breakfast with Scot
1035,Breakheart Pass
1036,Breakin'
1037,Breakin' 2: Electric Boogaloo
1038,Breaking Away
1039,Breaking and Entering
1040,Breaking the Waves
1041,Breakout
1042,Breathless
1043,Brenda Starr
1044,Brewster's Millions
1045,Brian's Song
1046,Brick
1047,Brick Mansions
1048,Bride & Prejudice
1049,Bride Wars
1050,Bride of Chucky
1051,Bride of Frankenstein
1052,Bride of Re-Animator
1053,Bride of the Monster
1054,Bridesmaids
1055,Bridge of Spies
1056,Bridge to Terabithia
1057,Bridget Jones's Diary
1058,Bridget Jones: The Edge of Reason
1059,Brief Encounter
1060,Brigadoon
1061,Bright Eyes
1062,"Bright Lights, Big City"
1063,Bright Young Things
1064,Brighton Beach Memoirs
1065,Bring It On
1066,Bring It On Again
1067,Bring Me the Head of Alfredo Garcia
1068,Bringing Down the House
1069,Bringing Out the Dead
1070,Bringing Up Baby
1071,Broadcast News
1072,Broadway Danny Rose
1073,Broderskab
1074,Brokeback Mountain
1075,Brokedown Palace
1076,Broken
1077,Broken Arrow
1078,Broken Flowers
1079,Bronco Billy
1080,Bronson
1081,Brooklyn
1082,Brooklyn's Finest
1083,Brother
1084,Brother Bear
1085,Brother Can You Spare A Dime
1086,Brother's Keeper
1087,Brothers
1088,Brubaker
1089,Bruce Almighty
1090,Brüno
1091,Bubba Ho-tep
1092,Bubble Boy
1093,Buck
1094,Bud Abbott Lou Costello Meet Frankenstein
1095,Budbringeren
1096,Buena Vista Social Club
1097,Buffalo '66
1098,Buffy the Vampire Slayer
1099,Bugsy
1100,Bugsy Malone
1101,Bukowski - Born into This
1102,Bull Durham
1103,Bullet to the Head
1104,Bulletproof
1105,Bulletproof Monk
1106,Bullets Over Broadway
1107,Bullitt
1108,Bully
1109,Bulworth
1110,Bunny Lake Is Missing
1111,Bunny and the Bull
1112,Bunraku
1113,Burden of Dreams
1114,Burglar
1115,Buried
1116,Burke & Hare
1117,Burlesque
1118,Burma VJ: Reporter i et lukket land
1119,Burn After Reading
1120,Burn Notice: The Fall of Sam Axe
1121,Burnt
1122,Burnt Offerings
1123,Bush's Brain
1124,Buster Keaton: A Hard Act to Follow
1125,But I'm a Cheerleader
1126,Butch Cassidy and the Sundance Kid
1127,Butterflies Are Free
1128,Butterfly Kiss
1129,Butterfly on a Wheel
1130,Buying the Cow
1131,By the Gun
1132,By the Light of the Silvery Moon
1133,Bye Bye Birdie
1134,Bye Bye Love
1135,Bébés
1136,C'era una volta il West
1137,C'est arrivé près de chez vous
1138,C.H.U.D.
1139,C.S.A.: The Confederate States of America
1140,CB4
1141,CRAZY
1142,Cabaret
1143,Cabin Boy
1144,Cabin Fever
1145,Cabin in the Sky
1146,Caché
1147,Cactus Flower
1148,Caddyshack
1149,Caddyshack II
1150,Cadillac Man
1151,Cadillac Records
1152,Cake
1153,Calamity Jane
1154,Calendar Girls
1155,California Split
1156,Caligola
1157,Call Northside 777
1158,Callas Forever
1159,Calvary
1160,Camelot
1161,Camille Claudel 1915
1162,Camp
1163,Camp Rock
1164,Can't Buy Me Love
1165,Can't Hardly Wait
1166,Can't Stop the Music
1167,Canadian Bacon
1168,Candleshoe
1169,Candy
1170,Candyman
1171,Candyman: Farewell to the Flesh
1172,Cannery Row
1173,Cannibal Holocaust
1174,Cannonball
1175,Cannonball Run II
1176,Cape Fear
1177,Capote
1178,Captain America: Civil War
1179,Captain America: The First Avenger
1180,Captain America: The Winter Soldier
1181,Captain Blood
1182,Captain Corelli's Mandolin
1183,Captain Horatio Hornblower R.N.
1184,Captain January
1185,Captain Phillips
1186,Captain Ron
1187,Captivity
1188,Capturing the Friedmans
1189,"Car 54, Where Are You?"
1190,Car Wash
1191,Carancho
1192,Carandiru
1193,Carbon Copy
1194,Care Bears Movie II: A New Generation
1195,Career Girls
1196,Career Opportunities
1197,Carlito's Way
1198,Carmen
1199,Carmen Jones
1200,Carmen Miranda: Bananas Is My Business
1201,Carnage
1202,Carnal Knowledge
1203,Carne trémula
1204,Carnival of Souls
1205,Carnosaur
1206,Carnosaur 2
1207,Carnosaur 3: Primal Species
1208,Carny
1209,Carol
1210,Carousel
1211,Carpool
1212,Carrie
1213,Carrie Fisher: Wishful Drinking
1214,Carried Away
1215,Carriers
1216,Carrington
1217,Cars
1218,Cars 2
1219,Casa De Mi Padre
1220,Casablanca
1221,Casanova
1222,Case 39
1223,Cashback
1224,Casino
1225,Casino Royale
1226,Casper
1227,Cast Away
1228,Castle Freak
1229,Casualties of War
1230,Cat Ballou
1231,Cat People
1232,Cat on a Hot Tin Roof
1233,Cat's Eye
1234,Catch Me If You Can
1235,Catch and Release
1236,Catch-22
1237,Catch.44
1238,Catfish
1239,Catfish in Black Bean Sauce
1240,Cats
1241,Cats & Dogs
1242,Cats Don't Dance
1243,Catwalk
1244,Catwoman
1245,Caught
1246,Cave of Forgotten Dreams
1247,Caveman
1248,Cecil B. Demented
1249,Cedar Rapids
1250,Celebrity
1251,Celeste & Jesse Forever
1252,Cellular
1253,Celtic Pride
1254,Cemetery Junction
1255,Center Stage
1256,Central Intelligence
1257,Central do Brasil
1258,Centurion
1259,Cesare deve morire
1260,Cet obscur objet du désir
1261,Chacun Cherche Son Chat
1262,Chacun son cinema ou Ce petit coup au coeur quand la lumiere s'eteint et que le film commence
1263,Chain Reaction
1264,Chan Is Missing
1265,Chances Are
1266,Changeling
1267,Changing Lanes
1268,Chaos
1269,Chaos Theory
1270,Chappie
1271,Charade
1272,Chariots of Fire
1273,Charlie Bartlett
1274,Charlie Countryman
1275,Charlie St. Cloud
